公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利,工作年限,经验,salary,月工资
成都杰迈科技有限责任公司,成都杰迈,15-50人,不需要融资,高新区,java开发工程师,3-5年,大专,10k-15k,"五险一金,员工旅游,绩效奖金,年终奖金","['3', '5']",4.0,"['10', '15']",11.25
四川长虹电器股份有限公司,四川长虹电器股份有限公司,2000人以上,上市公司,高新区,java工程师,3-5年,本科,8k-15k,五险一金,"['3', '5']",4.0,"['8', '15']",9.75
成都校精灵科技有限公司,校精灵,15-50人,天使轮,高新区,Java开发工程师,1-3年,本科,7k-12k,"股票期权,大牛指导,快速成长,打土豪分田","['1', '3']",2.0,"['7', '12']",8.25
成都冰鉴信息科技有限公司,冰鉴科技,50-150人,B轮,高新区,Java开发工程师,1-3年,本科,10k-15k,"金融科技,扁平管理,弹性工作,发展平台好","['1', '3']",2.0,"['10', '15']",11.25
客如云科技（北京）股份有限公司,客如云,500-2000人,C轮,高新区,Java开发工程师J11058,3-5年,本科,15k-25k,"前景广阔,优秀团队,C轮融资","['3', '5']",4.0,"['15', '25']",17.5
成都昕月互动科技有限公司,北美省钱快报,150-500人,不需要融资,高新区,Java,3-5年,本科,10k-20k,"五险一金,环境舒适,团队活跃","['3', '5']",4.0,"['10', '20']",12.5
四川斐讯信息技术有限公司,斐讯技术,2000人以上,不需要融资,高新区,Java工程师,3-5年,本科,10k-20k,"五险一金,餐饮补贴,下午茶","['3', '5']",4.0,"['10', '20']",12.5
成都博雅成信科技有限公司,博雅成信,2000人以上,不需要融资,高新区,Java开发工程师,3-5年,本科,10k-15k,"平台大,发展快,美女多,技术大咖","['3', '5']",4.0,"['10', '15']",11.25
优客逸家(成都)信息科技有限公司,优客逸家,500-2000人,C轮,高新区,JAVA软件开发工程师,3-5年,本科,12k-16k,"互联网平台,扁平文化,扁平灵活,集团化发展","['3', '5']",4.0,"['12', '16']",13.0
贵州煜滕煤炭行业大数据信息中心有限责任公司,贵煤数据,15-50人,天使轮,高新区,Java工程师,1-3年,本科,6k-10k,"金融,大数据,双休,带薪年假","['1', '3']",2.0,"['6', '10']",7.0
深圳市易思博软件技术有限公司,深圳易思博软件,15-50人,未融资,郫县,java开发工程师,1-3年,大专,7k-12k,"java,linux","['1', '3']",2.0,"['7', '12']",8.25
薇信和他的小伙伴们成都信息技术有限公司,薇信小伙伴,50-150人,未融资,高新区,Java开发工程师,3-5年,大专,8K-11K,"员工旅游,专业不定时培训，带薪年假","['3', '5']",4.0,"['8', '11']",8.75
广州星鸟电子科技有限公司,广州星鸟科技,150-500人,不需要融资,高新区,java开发工程师cd,1-3年,大专,7k-11k,"待遇丰厚,管理人性化,晋升空间大","['1', '3']",2.0,"['7', '11']",8.0
深圳麦亚信科技资讯有限公司成都分公司,麦亚信,15-50人,C轮,武侯区,JAVA开发工程师,3-5年,不限,9k-14k,"福利健全,加班少,每年旅游,工作环境好","['3', '5']",4.0,"['9', '14']",10.25
新蛋科技（成都）有限公司,新蛋,500-2000人,不需要融资,高新区,Java开发工程师,1-3年,本科,8k-11k,赴美机会、技术氛围好、专业培训,"['1', '3']",2.0,"['8', '11']",8.75
客如云科技（北京）股份有限公司,客如云,500-2000人,C轮,高新区,JAVA工程师（activity）(J11237),3-5年,本科,15k-25k,"优秀团队,前景广阔,C轮融资","['3', '5']",4.0,"['15', '25']",17.5
中电科华云信息技术有限公司,电科华云,150-500人,A轮,高新区,高Java开发工程师,5-10年,本科,10k-15k,"大数据,架构设计,国企","['5', '10']",7.5,"['10', '15']",11.25
成都御顺投资有限公司,御顺投资,500-2000人,不需要融资,锦江区,java开发工程师,3-5年,大专,6k-10k,"公司项目,发展空间大,五险一金,团队规模","['3', '5']",4.0,"['6', '10']",7.0
成都掌控者网络科技有限公司,掌控者,50-150人,不需要融资,高新区,高级JAVA工程师,5-10年,本科,10k-17k,"五险一金,周末双休,创业团队,工作激情","['5', '10']",7.5,"['10', '17']",11.75
成都昕月互动科技有限公司,北美省钱快报,150-500人,不需要融资,高新区,高级Java开发工程师,3-5年,本科,15k-20k,"五险一金,弹性工作,轻松氛围","['3', '5']",4.0,"['15', '20']",16.25
网信集团有限公司,网信集团,2000人以上,不需要融资,高新区,Java工程师,3-5年,本科,15k-25k,"六险一金,项目奖金,年底双薪,下午茶","['3', '5']",4.0,"['15', '25']",17.5
北京江融信科技有限公司,江融信,150-500人,B轮,高新区,Java开发工程师,3-5年,本科,10k-20k,"五险一金,弹性上班,每年调薪","['3', '5']",4.0,"['10', '20']",12.5
成都长城开发科技有限公司,长城开发,500-2000人,不需要融资,郫县,java软件开发,1-3年,本科,6k-10k,"六险一金,带薪休假,奖金丰厚,平台广阔","['1', '3']",2.0,"['6', '10']",7.0
成都顶呱呱投资集团有限公司,顶呱呱,2000人以上,上市公司,武侯区,JAVA工程师,3-5年,大专,7k-14k,"项目奖金,带薪年假,晋升透明,周末双休","['3', '5']",4.0,"['7', '14']",8.75
活跃网络（成都）有限公司,活跃网络,500-2000人,上市公司,锦江区,Java开发工程师,5-10年,本科,10k-20k,"弹性时间,国际化团队,扁平化管理,福利好","['5', '10']",7.5,"['10', '20']",12.5
成都柠檬时光科技有限公司,柠檬科技,150-500人,天使轮,武侯区,Java开发工程师,3-5年,本科,8k-12k,高薪资、优越的地理位置及工作环境,"['3', '5']",4.0,"['8', '12']",9.0
成都市米彩科技有限公司,成都市米彩科技有限公司,150-500人,不需要融资,高新区,Java中级工程师,1-3年,本科,8k-12k,"五险一金,年度旅游,包三餐,节日福利","['1', '3']",2.0,"['8', '12']",9.0
深圳市金证科技股份有限公司,金证股份,2000人以上,上市公司,锦江区,高级java开发,5-10年,大专,10k-20k,"五险一金,上市公司","['5', '10']",7.5,"['10', '20']",12.5
深圳市致远优学教育科技有限公司,优学天下,500-2000人,不需要融资,高新区,JAVA开发工程师,3-5年,本科,10k-18k,"六险一金,年终双薪,双休过节费","['3', '5']",4.0,"['10', '18']",12.0
成都艾美互娱科技有限公司,艾美互娱,50-150人,不需要融资,武侯区,Java工程师,5-10年,本科,14k-18k,五险一金，带薪年假，带薪病假,"['5', '10']",7.5,"['14', '18']",15.0
网信集团有限公司,网信集团,2000人以上,不需要融资,高新区,Java工程师（高级）,3-5年,本科,15k-25k,"六险一金,项目奖金,下午茶,年底多薪","['3', '5']",4.0,"['15', '25']",17.5
深圳市紫川软件有限公司,紫川软件,500-2000人,不需要融资,锦江区,JAVA中高级工程师,3-5年,大专,9k-15k,五险一金 员工旅游 周末双休 公司聚餐,"['3', '5']",4.0,"['9', '15']",10.5
